ﺷﻤﺎرﻩ درس	ﻧﺎم ﻻﺗﻴﻦ	ﻧﺎم درس	ﻧﻮع درس	ﻣﻘﻄﻊ	واﺣﺪ	همنیاز	پیشنیاز	زمان آخرین ارائه	استاد آخرین ارائه
22880	HARDWARE PROJECT	پروژه سختافزار	پروژه	کارشناسی	3				
22881	ELEC CIRCUTS 1	مدار 1	نظری	کارشناسی	3		24016		
22882	OP RESEARCH 1	تحقیق در عملیات 1	نظری	کارشناسی	4		22255	ترم پاییز 95-96	شفیعی بوانی
22883	COMMUNICATIONS	ارتباطات	نظری	کارشناسی	3				
22884	DATA TRANS & NET	انتقال داده ها وشبکه ها	نظری	مشترک	3		22871		
22885	PRIN OF COMPUTER	اصول سیستمهای کامپیوتری	نظری	کارشناسی	4				
22886	FAULT‐TOLERANT COMM	ارتباطات خطاپذیر	نظری	کارشناسی ارشد	3		22861		
22887	PRIN OF COMPUTER SYSTEMS	اصول سیستمهای کامپیوتری	درس پروژه دار	کارشناسی	4				
22888	CAD	طراحی بهکمک کامپیوتر	نظری	کارشناسی ارشد	3				
22889	COMPUTER SIMULATION	شبیهسازی کامپیوتری	نظری	کارشناسی	3				
22890	CS GRAD SEMINAR 	سمینار علوم کامپیوتر	سمینار	کارشناسی ارشد	1				
22891	ANALYSIS OF ALGORITHMS	آنالیز الگوریتمها	نظری	مشترک	3		22822		
22892	COMPLEXITY THEORY	پیچیدگی محاسبه	نظری	کارشناسی ارشد	4				
22893	THEORY ADV COMPU	نظریه محاسبات پیشرفته	نظری	کارشناسی ارشد	4				
22894	COMPU LOGIC 	منطق محاسباتی	نظری	کارشناسی ارشد	4				
22895	MICROPROGRAMMING	ریزبرنامه سازی	نظری	کارشناسی ارشد	3		22871		
22896	COMPU COMPLEX SEM	سمینار پیچیدگی محاسبه	سمینار	کارشناسی ارشد	1				
22897	COMPU GEOM	هندسه محاسباتی	نظری	کارشناسی ارشد	4		 22891 و 22822		
22898	IND ELECTRONICS	الکترونیک صنعتی	نظری	کارشناسی ارشد	4				
22899	OP RESEARCH 2	تحقیق در عملیات 2	نظری	کارشناسی	3				
22901	OP RESEARCH 2	تحقیق در عملیات 2	نظری	کارشناسی	4		22882		
22902	LOGIC FOR CS	منطق برای علوم کامپیوتر	نظری	کارشناسی ارشد	4			ترم پاییز 95-96	اردشیر
22903	PROOF THEORY	نظریه برهان	نظری	کارشناسی ارشد	4				
22909	THEORY COMPUTER SCI 	نظریه علوم کامپیوتر	نظری	کارشناسی ارشد	4			ترم پاییز 95-96	دانشگر
22910	CS GRAD THESIS	پروژه علوم کامپیوتر	پروژه	کارشناسی ارشد	4				
22911	FORMAL METHODS	روشهای صوری	نظری	کارشناسی ارشد	4		22902		
22915	DATA TRANSMISSION 	انتقال داده ها	نظری	کارشناسی ارشد	3		22684		
22919	COMPLEX VARIABLES 	متغیرهای مختلط	نظری	کارشناسی	4				
22920	PROJECT 	پروژه دانشوری	پروژه	کارشناسی ارشد	4				
22921	COMPUTER SCI SEM	سمینار علوم کامپیوتر	سمینار	مشترک	1		22923		
22922	INTERACTIVE GRAPH 	گرافیک	نظری	مشترک	1		22923		
22923	MACH LANG & ASSMBLR	زبان ماشین و اسمبلر	نظری	کارشناسی	3		 22014 و 22013		
22924	MICROPROGRAMMING	ریزبرنامه سازی	نظری	کارشناسی	3				
22925	PRINCIPLES OF IMAGE PROCESSING	اصول پردازش تصویر	نظری	کارشناسی	3			ترم پاییز 95-96	کمالی تبریزی
22927	ARTIF INTELLIGENCE	هوش مصنوعی	نظری	کارشناسی ارشد	3		22685		
22929	COMP VAR LAP TRANS	تبدیل لاپلاس	نظری	کارشناسی	2				
22930	MSC PROJECT	پروژه کارشناسیارشد	پروژه	کارشناسی ارشد	6				
22931	ALG CODING THEORY	نظریه کدگذاری جبری	نظری	کارشناسی ارشد	3				
22939	OPERATIONAL METHODS	روشهای عملگرها	نظری	کارشناسی	2				
22940	ADV TOPICS IN CS & TECH	مباحث پیشرفته در کامپیوتر	نظری	کارشناسی ارشد	4				
22941	SYSTEM ANALYSIS 	تحلیل سیستمها	نظری	کارشناسی	2				
22942	SYSTEM PROGRAMMING	برنامه نویسی سیستم	نظری	کارشناسی ارشد	3		 22684 و 22683 و 22682		
22943	COMMERCIAL SYS DSGN	طراحی سیستمهای اقتصادی	نظری	مشترک	3		 22014 و 22013		
22944	SYSTEMS SIMULATION	شبیهسازی سیستمها	نظری	مشترک	3		 22014 و 22013		
22945	SYSTEM THEORY 	نظریه سیستمها	نظری	مشترک	3		 22261 و 22381		
22948	SYSTEM ANALYSIS 	تحلیل سیستمها	نظری	مشترک	2				
22949	MATH PROGRAMMING	برنامه نویسی ریاضی	نظری	کارشناسی	4				
22950	MSC PROJECT	پروژه کارشناسیارشد	پروژه	کارشناسی ارشد	4				
22951	AUTOMATA & LANG 	نظریه اتوماتا	نظری	کارشناسی ارشد	3		22683		
22952	INFO STORE RETRIEV 	ذخیره و بازیابی اطلاعات	نظری	کارشناسی ارشد	3		 22943 و 22682		
22959	NONLIN OSCILATIONS	نوسانهای غیرخطی	نظری	کارشناسی	3				
22960	PHD THESIS 	تز دکتری	پروژه	دکترا	9		22000		
22962	DATABASE SYSTEMS 	بانکهای اطلاعاتی	نظری	کارشناسی ارشد	3		22952		
22963	SELF‐CONTAINED SYS	سیستمهای خودآگاه	نظری	کارشناسی ارشد	3				
22965	PRIVACY SECURITY	حفاظت اطلاعات	نظری	کارشناسی ارشد	3				
22970	MSC THESIS	پایان نامه کارشناسی ارشد	پایان نامه کارشناسی ارشد	کارشناسی ارشد	6				
22971	INTERNET GOVERNANCE	راهبری اینترنت	درس پروژه دار	مشترک	2				
22979	TOPICS IN ADV MATH	مباحثی در ریاضیات پیشرفته	نظری	کارشناسی	3				
22980	PHD THESIS	رساله دکتری	رساله دکتری	دکترا	24				
22989	TOPICS IN ADV MATH	مباحثی در ریاضیات پیشرفته	نظری	کارشناسی	3				
22990	COMPUTER SYS LAB 	آز سیستمهای کامپیوتر	آزمایشگاه	مشترک	1				
22991	LOG CKT COMP TECH	مدارهای منطقی	نظری	کارشناسی	5				
22992	COMPUTER SYS ORGANIZ	سازمان سیستمهای کامپیوتری	نظری	کارشناسی	5				
22993	DATA STR DATABASE 	ساختمان داده ها	نظری	کارشناسی	5				
22994	OP SYS & COMPILERS	سیستم عامل و کامپایلر	نظری	کارشناسی	5				
22995	LANG TH COMP LANG	نظریه زبانها	نظری	کارشناسی	5				
22996	FOUND OP RESEARCH	مبانی تحقیق در عملیات	نظری	کارشناسی	5				
22AP0	ADVISOR PROFESSOR	استاد راهنما	استادراهنما	کارشناسی	3				
22AP2	ADVISOR PROFESSOR	استاد راهنما	استادراهنما	کارشناسی	2				
22TA0	TEACHING ASSISTANT	دستیار آموزشی 	دستیار آموزشی	دکترا	3				
